ORIGIN,DEST,ON_TIME,DELAYED15MIN,DIVERTED,CANCELLED,TOTAL
IAH,ABQ,4154,1144,12,45,5355
IAH,ACT,143,37,0,7,187
IAH,AEX,1958,444,9,50,2461
IAH,AGS,2,1,0,0,3
IAH,AMA,3143,730,16,83,3972
IAH,ANC,209,152,6,0,367
IAH,ASE,309,92,18,11,430
IAH,ATL,11769,3340,50,205,15364
IAH,AUS,8426,1785,9,56,10276
IAH,AVL,726,194,5,14,939
IAH,BFL,979,182,1,3,1165
IAH,BHM,4545,1445,17,76,6083
IAH,BNA,4768,1373,16,39,6196
IAH,BOS,4029,1165,13,51,5258
IAH,BPT,12,4,0,0,16
IAH,BRO,3965,942,22,74,5003
IAH,BTR,4926,1280,18,101,6325
IAH,BWI,3275,657,15,48,3995
IAH,CAE,1203,318,9,19,1549
IAH,CHS,1827,680,16,17,2540
IAH,CID,608,281,4,9,902
IAH,CLE,5378,927,1,27,6333
IAH,CLL,620,108,0,20,748
IAH,CLT,11438,2538,22,118,14116
IAH,CMH,2948,793,15,23,3779
IAH,COS,3607,1057,29,36,4729
IAH,CRP,7501,1701,12,118,9332
IAH,CRW,811,238,11,19,1079
IAH,CVG,3959,1112,10,62,5143
IAH,DAL,4393,1165,8,113,5679
IAH,DAY,786,354,5,9,1154
IAH,DCA,6674,1279,25,116,8094
IAH,DEN,9683,2263,25,53,12024
IAH,DFW,11026,2610,31,220,13887
IAH,DRT,317,48,1,6,372
IAH,DSM,1284,631,5,27,1947
IAH,DTW,5990,1288,25,70,7373
IAH,EGE,254,62,7,4,327
IAH,ELP,4686,1328,9,49,6072
IAH,EWR,9102,2495,57,158,11812
IAH,FLL,4311,897,10,8,5226
IAH,GJT,707,166,4,5,882
IAH,GPT,3718,1008,19,94,4839
IAH,GRK,769,105,1,9,884
IAH,GRR,1291,494,10,7,1802
IAH,GSO,1212,351,8,12,1583
IAH,GSP,1747,549,9,12,2317
IAH,GUC,99,25,4,2,130
IAH,HDN,278,44,9,1,332
IAH,HNL,1071,300,2,4,1377
IAH,HOB,634,248,6,20,908
IAH,HRL,3836,940,8,84,4868
IAH,HSV,2120,684,8,34,2846
IAH,IAD,4199,1273,18,70,5560
IAH,ICT,3528,992,17,63,4600
IAH,IND,4128,1025,14,33,5200
IAH,JAC,13,9,1,1,24
IAH,JAN,2999,797,17,67,3880
IAH,JAX,3833,1140,11,23,5007
IAH,JFK,212,45,0,18,275
IAH,LAS,6450,1232,11,17,7710
IAH,LAX,10014,3395,17,57,13483
IAH,LBB,3029,768,24,79,3900
IAH,LCH,1306,234,1,42,1583
IAH,LEX,1188,423,7,16,1634
IAH,LFT,5480,1306,39,168,6993
IAH,LGA,6221,1945,58,153,8377
IAH,LIT,3606,961,10,73,4650
IAH,LRD,2661,714,11,47,3433
IAH,MAF,4539,1196,16,103,5854
IAH,MCI,6947,2189,43,85,9264
IAH,MCO,5196,1237,12,14,6459
IAH,MEM,6032,1402,13,124,7571
IAH,MFE,4055,1038,7,46,5146
IAH,MIA,6585,1062,25,85,7757
IAH,MKE,3216,1123,25,31,4395
IAH,MLU,948,229,8,23,1208
IAH,MOB,3956,1034,10,88,5088
IAH,MSP,4888,1415,22,66,6391
IAH,MSY,9067,1741,8,89,10905
IAH,MTJ,443,68,1,2,514
IAH,MYR,1,0,0,0,1
IAH,OKC,4859,1249,15,101,6224
IAH,OMA,4666,1233,13,35,5947
IAH,ONT,2300,456,4,4,2764
IAH,ORD,12629,4051,44,219,16943
IAH,ORF,1359,511,4,19,1893
IAH,PBI,2706,626,9,20,3361
IAH,PDX,2750,890,10,7,3657
IAH,PHL,4946,1309,19,84,6358
IAH,PHX,9085,1630,16,54,10785
IAH,PIT,3991,964,12,35,5002
IAH,PNS,3572,1048,18,62,4700
IAH,PSP,296,110,1,0,407
IAH,RAP,71,11,0,0,82
IAH,RDU,4056,1054,16,23,5149
IAH,RIC,1934,686,2,17,2639
IAH,RNO,332,52,1,1,386
IAH,RSW,2116,544,4,12,2676
IAH,SAN,5511,1135,20,21,6687
IAH,SAT,8030,1809,6,57,9902
IAH,SAV,1741,604,10,19,2374
IAH,SDF,2544,721,7,15,3287
IAH,SEA,5780,1992,14,11,7797
IAH,SFO,6190,2587,15,43,8835
IAH,SHV,2298,631,5,44,2978
IAH,SJC,2204,393,2,4,2603
IAH,SJU,900,283,1,4,1188
IAH,SLC,5054,968,5,27,6054
IAH,SMF,2522,513,5,4,3044
IAH,SNA,4218,710,12,21,4961
IAH,STL,2080,585,12,22,2699
IAH,TPA,4283,871,7,13,5174
IAH,TUL,5580,1278,15,101,6974
IAH,TUS,3442,1073,13,26,4554
IAH,TYR,458,81,1,16,556
IAH,TYS,2521,822,8,13,3364
IAH,VPS,2066,724,20,32,2842
IAH,XNA,2685,749,18,61,3513
IAH,IAH,419741,109000,1482,5378,535601